input_id,qkey,question_raw,pred_A,pred_B,pred_C,pred_D,pred_E,pred_F,pred_G,pred_H,pred_I,pred_J,pred_K
id0,SAFECRIME_W26,"How safe, if at all, would you say your local community is from crime? Would you say it is",0.326530612244898,0.42857142857142855,0.1836734693877551,0.061224489795918366,,,,,,,
id1,WORLDDANGER_W26,"Compared to 50 years ago, do you think",0.25773195876288657,0.5670103092783505,0.17525773195876287,,,,,,,,
id2,WORRYA_W26,"How much, if at all, do you worry about the following happening to you? Having your home broken into",0.25510204081632654,0.40816326530612246,0.33673469387755106,,,,,,,,
id3,WORRYB_W26,"How much, if at all, do you worry about the following happening to you? Being the victim of a terrorist attack",0.12244897959183673,0.28571428571428575,0.5918367346938775,,,,,,,,
id4,WORRYC_W26,"How much, if at all, do you worry about the following happening to you? Losing your job",0.25510204081632654,0.35714285714285715,0.3877551020408163,,,,,,,,
id5,WORRYD_W26,"How much, if at all, do you worry about the following happening to you? Not being able to pay your bills",0.28571428571428575,0.35714285714285715,0.35714285714285715,,,,,,,,
id6,WORRYE_W26,"How much, if at all, do you worry about the following happening to you? Being the victim of a violent crime",0.25510204081632654,0.40816326530612246,0.33673469387755106,,,,,,,,
id7,WORRYF_W26,"How much, if at all, do you worry about the following happening to you? Being the victim of a mass shooting",0.28571428571428575,0.35714285714285715,0.35714285714285715,,,,,,,,
id8,WORRYG_W26,"How much, if at all, do you worry about the following happening to you? Having a personal health crisis",0.28571428571428575,0.42857142857142855,0.28571428571428575,,,,,,,,
id9,GUN_W26,"Do you personally own any guns (not including air guns, such as paintball, BB or pellet guns)?",0.326530612244898,0.6734693877551021,,,,,,,,,
id10,GUN1_W26,"Does anyone else in your household own any guns (not including air guns, such as paintball, BB or pellet guns)?",0.32989690721649484,0.6701030927835052,,,,,,,,,
id11,EVEROWN_W26,"Have you ever owned a gun at any point in your life, or have you never owned a gun?",0.4329896907216495,0.5670103092783506,,,,,,,,,
id12,NEVEROWN_W26,Which best describes you?,0.4329896907216495,0.5670103092783506,,,,,,,,,
id13,GUNTYPEOWNC_W26,Do you currently or have you ever owned a shotgun?,0.25510204081632654,0.15306122448979592,0.5918367346938775,,,,,,,,
id14,EVERSHOT_W26,"Regardless of whether or not you own a gun, have you ever fired a gun?",0.42857142857142855,0.5714285714285715,,,,,,,,,
id15,REASONGUNA_W26,"Please indicate whether the following is a major reason, a minor reason, or not a reason why you own a gun. For protection",0.6842105263157895,0.21052631578947367,0.10526315789473684,,,,,,,,
id16,REASONGUNB_W26,"Please indicate whether the following is a major reason, a minor reason, or not a reason why you own a gun. For hunting",0.2577319587628866,0.30927835051546393,0.4329896907216495,,,,,,,,
