input_id,qkey,question_raw,logit_A,logit_B,logit_C,logit_D,pred_A,pred_B,pred_C,pred_D,logit_E,pred_E,logit_F,logit_G,logit_H,logit_I,logit_J,logit_K,pred_F,pred_G,pred_H,pred_I,pred_J,pred_K
id0,SAFECRIME_W26,"How safe, if at all, would you say your local community is from crime? Would you say it is",2.1,1.5,-0.2,-1.8,0.5990490487185685,0.32876508852780767,0.06005996495776918,0.012125897795854617,,,,,,,,,,,,,,
id1,WORLDDANGER_W26,"Compared to 50 years ago, do you think",-1.2,2.8,0.5,,0.016374089677043787,0.893995004843395,0.08963090547956112,,,,,,,,,,,,,,,
id2,WORRYA_W26,"How much, if at all, do you worry about the following happening to you? Having your home broken into",1.8,2.1,1.5,,0.32355370388335947,0.4367518169107908,0.23969447920584977,,,,,,,,,,,,,,,
id3,WORRYB_W26,"How much, if at all, do you worry about the following happening to you? Being the victim of a terrorist attack",1.2,2.8,3.5,,0.0627856161660331,0.310979192655988,0.6262351911779789,,,,,,,,,,,,,,,
id4,WORRYC_W26,"How much, if at all, do you worry about the following happening to you? Losing your job",1.8,2.5,1.2,,0.28069668462449604,0.5652537086405655,0.15404960673493862,,,,,,,,,,,,,,,
id5,WORRYD_W26,"How much, if at all, do you worry about the following happening to you? Not being able to pay your bills",1.8,2.1,0.5,,0.3813314461115678,0.5147436111393937,0.1039249427490385,,,,,,,,,,,,,,,
id6,WORRYE_W26,"How much, if at all, do you worry about the following happening to you? Being the victim of a violent crime",1.2,2.1,0.8,,0.2421352557755029,0.5955566284262107,0.1623081157982864,,,,,,,,,,,,,,,
id7,WORRYF_W26,"How much, if at all, do you worry about the following happening to you? Being the victim of a mass shooting",1.8,2.1,1.5,,0.32355370388335947,0.4367518169107908,0.23969447920584977,,,,,,,,,,,,,,,
id8,WORRYG_W26,"How much, if at all, do you worry about the following happening to you? Having a personal health crisis",1.8,2.1,0.5,,0.3813314461115678,0.5147436111393937,0.1039249427490385,,,,,,,,,,,,,,,
id9,GUN_W26,"Do you personally own any guns (not including air guns, such as paintball, BB or pellet guns)?",1.2,2.1,,,0.289050497374996,0.710949502625004,,,,,,,,,,,,,,,,
id10,GUN1_W26,"Does anyone else in your household own any guns (not including air guns, such as paintball, BB or pellet guns)?",1.2,2.5,,,0.2141650169574414,0.7858349830425586,,,,,,,,,,,,,,,,
id11,EVEROWN_W26,"Have you ever owned a gun at any point in your life, or have you never owned a gun?",1.2,1.8,,,0.3543436937742045,0.6456563062257954,,,,,,,,,,,,,,,,
id12,NEVEROWN_W26,Which best describes you?,1.8,2.1,,,0.425557483188341,0.574442516811659,,,,,,,,,,,,,,,,
id13,GUNTYPEOWNC_W26,Do you currently or have you ever owned a shotgun?,1.8,1.2,0.5,,0.5490452728504618,0.3013224344827531,0.14963229266678504,,,,,,,,,,,,,,,
id14,EVERSHOT_W26,"Regardless of whether or not you own a gun, have you ever fired a gun?",1.8,0.9,,,0.7109495026250039,0.289050497374996,,,,,,,,,,,,,,,,
id15,REASONGUNA_W26,"Please indicate whether the following is a major reason, a minor reason, or not a reason why you own a gun. For protection",3.2,1.5,-1.8,,0.8407448699540354,0.15359023567246127,0.0056648943735032944,,,,,,,,,,,,,,,
id16,REASONGUNB_W26,"Please indicate whether the following is a major reason, a minor reason, or not a reason why you own a gun. For hunting",1.8,1.2,0.5,,0.5490452728504618,0.3013224344827531,0.14963229266678504,,,,,,,,,,,,,,,
id17,REASONGUNC_W26,"Please indicate whether the following is a major reason, a minor reason, or not a reason why you own a gun. For sport shooting, including target shooting and trap and skeet",2.1,1.5,0.8,,0.5490452728504618,0.3013224344827531,0.14963229266678504,,,,,,,,,,,,,,,
id18,REASONGUND_W26,"Please indicate whether the following is a major reason, a minor reason, or not a reason why you own a gun. As part of a gun collection",1.2,0.8,-0.5,,0.5396643677013033,0.3617478438013318,0.09858778849736488,,,,,,,,,,,,,,,
id19,REASONGUNE_W26,"Please indicate whether the following is a major reason, a minor reason, or not a reason why you own a gun. For my job",-1.2,0.3,2.1,,0.03068018460991882,0.13749904804222726,0.831820767347854,,,,,,,,,,,,,,,
id20,IMPREASONGUN_W26,Which of the following is the most important reason why you own a gun?,3.2,1.5,0.8,-0.5,0.7631243982398332,0.1394102543610752,0.06922908351353219,0.018867126260044335,-1.2,0.009369137625514992,,,,,,,,,,,,
id21,GUNIDENTITY_W26,"How important, if at all, is being a gun owner to your overall identity?",1.2,2.5,1.8,0.5,0.14310244555715027,0.5250853266110158,0.2607496564315428,0.07106257140029112,,,,,,,,,,,,,,
id22,GUNFRIEND_W26,"As far as you know, how many of your friends, if any, own guns?",-1.2,0.8,1.5,0.3,0.036035416753904925,0.26626771594294896,0.5361973338920932,0.16149953341105291,,,,,,,,,,,,,,
id23,GUNSOCIETY_W26,Do you feel that society in general tends to look at most gun owners in a positive way or a negative way?,-0.8,1.2,,,0.11920292202211755,0.8807970779778823,,,,,,,,,,,,,,,,
id24,GUNCOMMUNITY_W26,Do you feel that people in your local community tend to look at most gun owners in a positive way or a negative way?,1.8,0.5,,,0.7858349830425586,0.2141650169574414,,,,,,,,,,,,,,,,
id25,SHOOTFREQ_W26,"How often, if ever, do you go shooting or to a gun range?",1.2,0.8,0.3,-0.5,0.4425614477985695,0.2966578100619363,0.17993205724577133,0.08084868489372304,,,,,,,,,,,,,,
id26,GUNSAFE_W26,Does having a gun in your household make you feel,2.1,1.5,1.8,,0.4367518169107908,0.23969447920584977,0.32355370388335947,,,,,,,,,,,,,,,
id27,GUNSAFE2_W26,Would having a gun in your household make you feel,1.8,0.9,2.1,,0.3627883008237487,0.1474987160237816,0.4897129831524697,,,,,,,,,,,,,,,
id28,GUNCOURSES_W26,"Have you ever taken any gun safety courses such as weapons training, hunter safety or firearm safety?",1.2,2.5,,,0.2141650169574414,0.7858349830425586,,,,,,,,,,,,,,,,
id29,GUNACCESS_W26,"Thinking about when you're at home, would you say there is a gun that is both loaded and easily accessible to you",1.2,0.8,0.3,2.5,0.1740284660152938,0.11665476935088342,0.0707546942130164,0.6385620704208064,,,,,,,,,,,,,,
id30,GUNLOCKED1_W26,"In general, as far as you know, how many of the guns in your home would you say are kept in a locked place?",1.8,2.2,0.5,,0.3617478438013318,0.5396643677013033,0.09858778849736487,,,,,,,,,,,,,,,
id31,GUNLOADED1_W26,"In general, as far as you know, how many of the guns in your home would you say are kept loaded?",0.8,2.1,1.5,,0.14963229266678504,0.5490452728504618,0.3013224344827531,,,,,,,,,,,,,,,
id32,GUNLOCKED2_W26,"In general, is the gun in your home kept in a locked place, or not?",1.8,1.2,,,0.6456563062257954,0.3543436937742045,,,,,,,,,,,,,,,,
id33,GUNLOADED2_W26,"In general, is the gun in your home kept loaded, or not?",1.2,2.8,,,0.16798161486607555,0.8320183851339245,,,,,,,,,,,,,,,,
id34,GUNCONTRIBA_W26,"How much, if at all, do you think the ease with which people can legally obtain guns contributes to gun violence in the country today?",2.1,1.5,0.3,-1.8,0.5765840779420239,0.3164360511611278,0.09530870705008514,0.011671163846763219,,,,,,,,,,,,,,
id35,GUNCONTRIBB_W26,"How much, if at all, do you think the ease with which people can illegally obtain guns contributes to gun violence in the country today?",2.1,1.5,0.3,-1.2,0.571104284801562,0.31342867692225407,0.09440290333628251,0.02106413493990146,,,,,,,,,,,,,,
id36,GUNCONTRIBC_W26,"How much, if at all, do you think the amount of gun violence in movies and television contributes to gun violence in the country today?",1.2,2.1,1.8,0.5,0.17306106489897924,0.4256615336456642,0.3153378199680321,0.08593958148732445,,,,,,,,,,,,,,
id37,GUNCONTRIBD_W26,"How much, if at all, do you think lack of economic opportunities contributes to gun violence in the country today?",2.1,1.9,0.3,-1.5,0.49717768047338257,0.40705465674753666,0.08218291783083734,0.01358474494824341,,,,,,,,,,,,,,
id38,GUNCONTRIBE_W26,"How much, if at all, do you think the amount of gun violence in video games contributes to gun violence in the country today?",1.2,2.1,2.8,2.5,0.08276821812801734,0.2035769668125885,0.40995366809747735,0.30370114696191675,,,,,,,,,,,,,,
id39,GUNCONTRIBF_W26,"How much, if at all, do you think family instability contributes to gun violence in the country today?",2.1,1.9,0.8,-1.5,0.472012877096591,0.38645145832779676,0.12863851573027696,0.012897148845335268,,,,,,,,,,,,,,
id40,GROWUPVIOL_W26,How much of a problem was gun violence in the community where you spent the majority of time when you were growing up?,1.8,2.1,1.5,0.9,0.28593922282684575,0.38597757836425506,0.2118289862776971,0.11625421253120201,,,,,,,,,,,,,,
id41,GROWUPGUN1_W26,"Thinking about when you were growing up, as far as you know, were there ever any guns in your household or not?",1.8,1.2,,,0.6456563062257954,0.3543436937742045,,,,,,,,,,,,,,,,
id42,GROWUPGUN2A_W26,Would you say the following was a reason or was not a reason why there were guns in your household when you were growing up? For protection,2.1,1.5,,,0.6456563062257954,0.3543436937742045,,,,,,,,,,,,,,,,
id43,GROWUPGUN2B_W26,Would you say the following was a reason or was not a reason why there were guns in your household when you were growing up? For hunting,1.8,0.9,,,0.7109495026250039,0.289050497374996,,,,,,,,,,,,,,,,
id44,GROWUPGUN2C_W26,"Would you say the following was a reason or was not a reason why there were guns in your household when you were growing up? For sport shooting, including target shooting and trap and skeet",1.8,2.1,,,0.425557483188341,0.574442516811659,,,,,,,,,,,,,,,,
id45,GROWUPGUN4_W26,"Thinking about the people in the community where you spent the majority of time when you were growing up, as far as you know, how many people owned guns?",0.8,2.1,1.5,0.2,0.13827699377152644,0.507379312454269,0.27845567058828957,0.07588802318591492,,,,,,,,,,,,,,
id46,GROWUPGUN6_W26,"How often, if ever, did you go shooting or to a gun range when you were growing up?",1.2,2.1,1.8,0.5,0.17306106489897924,0.4256615336456642,0.3153378199680321,0.08593958148732445,,,,,,,,,,,,,,
id47,GROWUPGUN7_W26,"How often, if ever, did you use air guns, such as paintball, BB or pellet guns when you were growing up?",1.8,2.1,1.5,0.2,0.3037137928591466,0.4099707382732329,0.2249967116224088,0.061318757245211734,,,,,,,,,,,,,,
id48,GUNRESPNOKIDSA_W26,Thinking about gun owners who do not have children in their home how important do you think it is for them to: Keep all of their guns in a locked place,1.8,2.1,0.5,-1.5,0.37604251658070253,0.5076043030295065,0.10248354130076127,0.013869639089029622,,,,,,,,,,,,,,
id49,GUNRESPNOKIDSB_W26,Thinking about gun owners who do not have children in their home how important do you think it is for them to: Keep all of their guns unloaded,1.2,2.8,0.5,-1.5,0.15344899854271085,0.7600378652730054,0.07620051755781962,0.010312618626463996,,,,,,,,,,,,,,
id50,GUNRESPNOKIDSC_W26,Thinking about gun owners who do not have children in their home how important do you think it is for them to: Take gun safety courses,2.1,1.9,-0.5,-1.8,0.5226718744623597,0.4279275373912481,0.038820710348312575,0.01057987779807967,,,,,,,,,,,,,,
id51,GUNRESPNOKIDSD_W26,Thinking about gun owners who do not have children in their home how important do you think it is for them to: Advise visitors that there are guns in the house,2.1,1.5,-0.8,-1.9,0.6164656134299391,0.33832350190219246,0.0339199231049636,0.011290961562904763,,,,,,,,,,,,,,
id52,GUNRESPNOKIDSE_W26,Thinking about gun owners who do not have children in their home how important do you think it is for them to: Advise visitors with children that there are guns in the house,2.1,1.5,-0.8,-1.9,0.6164656134299391,0.33832350190219246,0.0339199231049636,0.011290961562904763,,,,,,,,,,,,,,
id53,GUNRESPNOKIDSF_W26,Thinking about gun owners who do not have children in their home how important do you think it is for them to: Store guns and ammunition separately,2.1,1.5,-0.8,-1.9,0.6164656134299391,0.33832350190219246,0.0339199231049636,0.011290961562904763,,,,,,,,,,,,,,
id54,GUNRESPNOKIDSG_W26,Thinking about gun owners who do not have children in their home how important do you think it is for them to: Keep their shooting skills up-to-date,1.8,2.5,0.7,-1.5,0.2955513354175866,0.59516730189368,0.09838049330886665,0.01090086937986688,,,,,,,,,,,,,,
id55,GUNRESPKIDSA_W26,"Thinking about gun owners who have children in their home, how important do you think it is for them to: Keep all of their guns in a locked place",2.1,1.5,-0.8,-1.9,0.6164656134299391,0.33832350190219246,0.0339199231049636,0.011290961562904763,,,,,,,,,,,,,,
id56,GUNRESPKIDSB_W26,"Thinking about gun owners who have children in their home, how important do you think it is for them to: Keep all of their guns unloaded",1.8,2.5,0.2,-1.5,0.30745274119121874,0.6191337899930364,0.06207363789441903,0.011339830921325837,,,,,,,,,,,,,,
id57,GUNRESPKIDSC_W26,"Thinking about gun owners who have children in their home, how important do you think it is for them to: Take gun safety courses",2.1,1.5,-0.8,-2.3,0.6187689211441942,0.33958758397728084,0.03404665851218268,0.007596836366342222,,,,,,,,,,,,,,
id58,GUNRESPKIDSD_W26,"Thinking about gun owners who have children in their home, how important do you think it is for them to: Advise visitors that there are guns in the house",2.1,1.5,-0.8,-1.9,0.6164656134299391,0.33832350190219246,0.0339199231049636,0.011290961562904763,,,,,,,,,,,,,,
id59,GUNRESPKIDSE_W26,"Thinking about gun owners who have children in their home, how important do you think it is for them to: Advise visitors with children that there are guns in the house",2.1,1.5,-0.8,-2.3,0.6187689211441942,0.33958758397728084,0.03404665851218268,0.007596836366342222,,,,,,,,,,,,,,
id60,GUNRESPKIDSF_W26,"Thinking about gun owners who have children in their home, how important do you think it is for them to: Store guns and ammunition separately",2.1,1.5,-0.8,-1.9,0.6164656134299391,0.33832350190219246,0.0339199231049636,0.011290961562904763,,,,,,,,,,,,,,
id61,GUNRESPKIDSG_W26,"Thinking about gun owners who have children in their home, how important do you think it is for them to: Keep their shooting skills up-to-date",1.2,2.5,0.8,-1.5,0.18495152200830137,0.6786420033761675,0.12397671274696613,0.012429761868565006,,,,,,,,,,,,,,
id62,GUNRESPKIDSH_W26,"Thinking about gun owners who have children in their home, how important do you think it is for them to: Talk to their children about gun safety",3.2,1.5,-1.8,-3.5,0.8398756969843647,0.15343145209135045,0.005659037932100616,0.0010338129921842404,,,,,,,,,,,,,,
id63,GUNSAFETYKIDS_W26,"For this question, please think about your child or children who are under 18. Have you ever talked with your child or children about gun safety?",1.8,0.5,2.2,,0.3617478438013318,0.09858778849736487,0.5396643677013033,,,,,,,,,,,,,,,
id64,CARRYGUN_W26,"How often, if ever, do you carry a handgun or pistol outside your home, not including times when you are transporting it?",-1.2,-0.8,0.3,2.5,0.02108778463711398,0.0314592779401868,0.09450889392579669,0.8529440434969026,,,,,,,,,,,,,,
id65,NOCARRYGUN_W26,And would you say you never carry a handgun or pistol because you don't want to or for some other reason?,3.2,1.5,,,0.8455347349164652,0.15446526508353467,,,,,,,,,,,,,,,,
id66,GUNKILLF1_W26,"Which comes closer to your view, even if neither is exactly right?",2.1,1.5,,,0.6456563062257954,0.3543436937742045,,,,,,,,,,,,,,,,
id67,GUNKILLF2_W26,"Thinking about people who commit suicide using a gun, which comes closer to your view, even if neither is exactly right?",1.2,2.5,,,0.2141650169574414,0.7858349830425586,,,,,,,,,,,,,,,,
