input_id,qkey,question_raw,logit_A,logit_B,logit_C,logit_D,pred_A,pred_B,pred_C,pred_D,logit_E,pred_E,logit_F,logit_G,logit_H,logit_I,logit_J,logit_K,pred_F,pred_G,pred_H,pred_I,pred_J,pred_K
id0,SAFECRIME_W26,"How safe, if at all, would you say your local community is from crime? Would you say it is",2.0,1.5,-0.5,-1.5,0.5817968421840145,0.35287762250859717,0.047756792990063496,0.017568742317324814,,,,,,,,,,,,,,
id1,WORLDDANGER_W26,"Compared to 50 years ago, do you think",1.5,2.8,-0.5,,0.20813248761372213,0.7636998432243342,0.028167669161943864,,,,,,,,,,,,,,,
id2,WORRYA_W26,"How much, if at all, do you worry about the following happening to you? Having your home broken into",-1.2,-0.5,2.8,,0.017357524268939464,0.034953761491561354,0.9476887142394992,,,,,,,,,,,,,,,
id3,WORRYB_W26,"How much, if at all, do you worry about the following happening to you? Being the victim of a terrorist attack",1.5,2.0,-1.0,,0.3661922162818002,0.6037488961486258,0.030058887569574023,,,,,,,,,,,,,,,
id4,WORRYC_W26,"How much, if at all, do you worry about the following happening to you? Losing your job",1.5,2.0,-1.0,,0.3661922162818002,0.6037488961486258,0.030058887569574023,,,,,,,,,,,,,,,
id5,WORRYD_W26,"How much, if at all, do you worry about the following happening to you? Not being able to pay your bills",-0.5,0.5,-1.5,,0.24472847105479764,0.6652409557748218,0.09003057317038046,,,,,,,,,,,,,,,
id6,WORRYE_W26,"How much, if at all, do you worry about the following happening to you? Being the victim of a violent crime",-0.5,0.5,-1.5,,0.24472847105479764,0.6652409557748218,0.09003057317038046,,,,,,,,,,,,,,,
id7,WORRYF_W26,"How much, if at all, do you worry about the following happening to you? Being the victim of a mass shooting",1.5,0.8,-1.0,,0.6334444870914696,0.314559223057311,0.05199628985121956,,,,,,,,,,,,,,,
id8,WORRYG_W26,"How much, if at all, do you worry about the following happening to you? Having a personal health crisis",2.0,1.5,-1.0,,0.6037488961486258,0.3661922162818002,0.030058887569574023,,,,,,,,,,,,,,,
id9,GUN_W26,"Do you personally own any guns (not including air guns, such as paintball, BB or pellet guns)?",1.5,2.8,,,0.21416501695744145,0.7858349830425586,,,,,,,,,,,,,,,,
id10,GUN1_W26,"Does anyone else in your household own any guns (not including air guns, such as paintball, BB or pellet guns)?",1.5,2.8,,,0.21416501695744145,0.7858349830425586,,,,,,,,,,,,,,,,
id11,EVEROWN_W26,"Have you ever owned a gun at any point in your life, or have you never owned a gun?",1.5,2.8,,,0.21416501695744145,0.7858349830425586,,,,,,,,,,,,,,,,
id12,NEVEROWN_W26,Which best describes you?,1.5,2.8,,,0.21416501695744145,0.7858349830425586,,,,,,,,,,,,,,,,
id13,GUNTYPEOWNC_W26,Do you currently or have you ever owned a shotgun?,0.5,1.0,-1.5,,0.3591881057825386,0.5922010701861591,0.04861082403130227,,,,,,,,,,,,,,,
id14,EVERSHOT_W26,"Regardless of whether or not you own a gun, have you ever fired a gun?",-1.0,2.5,,,0.029312230751356316,0.9706877692486436,,,,,,,,,,,,,,,,
id15,REASONGUNA_W26,"Please indicate whether the following is a major reason, a minor reason, or not a reason why you own a gun. For protection",2.0,1.0,-1.5,,0.7152682759694339,0.2631324936512963,0.021599230379269717,,,,,,,,,,,,,,,
id16,REASONGUNB_W26,"Please indicate whether the following is a major reason, a minor reason, or not a reason why you own a gun. For hunting",-1.0,0.5,-2.0,,0.17095278019779026,0.7661572065563422,0.0628900132458675,,,,,,,,,,,,,,,
id17,REASONGUNC_W26,"Please indicate whether the following is a major reason, a minor reason, or not a reason why you own a gun. For sport shooting, including target shooting and trap and skeet",-0.5,1.0,-1.5,,0.17095278019779026,0.7661572065563422,0.0628900132458675,,,,,,,,,,,,,,,
id18,REASONGUND_W26,"Please indicate whether the following is a major reason, a minor reason, or not a reason why you own a gun. As part of a gun collection",-1.0,-0.5,-2.0,,0.3314989604240915,0.5465493872661796,0.12195165230972885,,,,,,,,,,,,,,,
id19,REASONGUNE_W26,"Please indicate whether the following is a major reason, a minor reason, or not a reason why you own a gun. For my job",-1.0,-0.5,-2.0,,0.3314989604240915,0.5465493872661796,0.12195165230972885,,,,,,,,,,,,,,,
id20,IMPREASONGUN_W26,Which of the following is the most important reason why you own a gun?,2.0,1.5,1.2,-0.5,0.40998076284573026,0.24866590255830948,0.18421623147746025,0.033653270354016745,0.8,0.12348383276448315,,,,,,,,,,,,
id21,GUNIDENTITY_W26,"How important, if at all, is being a gun owner to your overall identity?",1.5,2.0,0.5,-1.0,0.3227174658639722,0.5320711503963734,0.1187211209983021,0.026490262741352265,,,,,,,,,,,,,,
id22,GUNFRIEND_W26,"As far as you know, how many of your friends, if any, own guns?",-1.0,-0.5,0.0,1.0,0.07839411721683971,0.12925004855316274,0.21309730428862378,0.5792585299413737,,,,,,,,,,,,,,
id23,GUNSOCIETY_W26,Do you feel that society in general tends to look at most gun owners in a positive way or a negative way?,1.5,-0.5,,,0.8807970779778823,0.11920292202211755,,,,,,,,,,,,,,,,
id24,GUNCOMMUNITY_W26,Do you feel that people in your local community tend to look at most gun owners in a positive way or a negative way?,2.0,-1.5,,,0.9706877692486436,0.029312230751356316,,,,,,,,,,,,,,,,
id25,SHOOTFREQ_W26,"How often, if ever, do you go shooting or to a gun range?",-1.0,-0.5,0.5,1.5,0.05177885129942981,0.08536889350978889,0.23205671194331448,0.6307955432474668,,,,,,,,,,,,,,
id26,GUNSAFE_W26,Does having a gun in your household make you feel,1.5,-1.0,0.5,,0.6896720861245036,0.05661173224047129,0.25371618163502524,,,,,,,,,,,,,,,
id27,GUNSAFE2_W26,Would having a gun in your household make you feel,1.5,-1.0,0.5,,0.6896720861245036,0.05661173224047129,0.25371618163502524,,,,,,,,,,,,,,,
id28,GUNCOURSES_W26,"Have you ever taken any gun safety courses such as weapons training, hunter safety or firearm safety?",1.5,2.8,,,0.21416501695744145,0.7858349830425586,,,,,,,,,,,,,,,,
id29,GUNACCESS_W26,"Thinking about when you're at home, would you say there is a gun that is both loaded and easily accessible to you",-2.0,-1.5,-0.8,2.5,0.010418189296540278,0.01717669029538636,0.03458960658771615,0.9378155138203572,,,,,,,,,,,,,,
id30,GUNLOCKED1_W26,"In general, as far as you know, how many of the guns in your home would you say are kept in a locked place?",-1.0,0.5,-2.5,,0.1752903921400367,0.7855970345892759,0.039112573270687456,,,,,,,,,,,,,,,
id31,GUNLOADED1_W26,"In general, as far as you know, how many of the guns in your home would you say are kept loaded?",-1.2,0.5,-2.3,,0.14691151286174436,0.8041858926442425,0.0489025944940132,,,,,,,,,,,,,,,
id32,GUNLOCKED2_W26,"In general, is the gun in your home kept in a locked place, or not?",2.0,1.0,,,0.7310585786300049,0.2689414213699951,,,,,,,,,,,,,,,,
id33,GUNLOADED2_W26,"In general, is the gun in your home kept loaded, or not?",-1.0,1.5,,,0.07585818002124356,0.9241418199787566,,,,,,,,,,,,,,,,
id34,GUNCONTRIBA_W26,"How much, if at all, do you think the ease with which people can legally obtain guns contributes to gun violence in the country today?",2.0,1.5,0.5,-1.0,0.5320711503963734,0.3227174658639722,0.1187211209983021,0.026490262741352265,,,,,,,,,,,,,,
id35,GUNCONTRIBB_W26,"How much, if at all, do you think the ease with which people can illegally obtain guns contributes to gun violence in the country today?",2.0,1.5,0.5,-1.0,0.5320711503963734,0.3227174658639722,0.1187211209983021,0.026490262741352265,,,,,,,,,,,,,,
id36,GUNCONTRIBC_W26,"How much, if at all, do you think the amount of gun violence in movies and television contributes to gun violence in the country today?",-1.0,-0.5,0.5,1.0,0.06887305426370378,0.11355246954265256,0.3086676145344417,0.508906861659202,,,,,,,,,,,,,,
id37,GUNCONTRIBD_W26,"How much, if at all, do you think lack of economic opportunities contributes to gun violence in the country today?",2.0,1.5,0.5,-1.0,0.5320711503963734,0.3227174658639722,0.1187211209983021,0.026490262741352265,,,,,,,,,,,,,,
